,,,,,,,,,
,,,,,,,,,
,No,Data,Sumber,Tokenisasi, Stopword Removal,Stemming,Hasil Preprocessing,,Keyword = Imunisasi Balita
,11,"Update soal vaksin di WA story, kalo gak vaksin gak ku bolehin main dan sentuh anakku. Kaget banget ih, ternyata temenku gak vaksin anaknya🙂🙂🙂🙂🙂
Vaksin aja dibilang pro, padahal menurutku itu tanggung jawab kita sebagai orang tua. Kasih yang terbaik buat anak. Jawab gitu aja biar beres, karena udah beda prinsip soalnya.",threads,"update, soal, vaksin, di, wa, story, kalo, gak, vaksin, gak, ku, bolehin, main, dan, sentuh, anakku, kaget, banget, ih, ternyata, temenku, gak, vaksin, anaknya, vaksin, aja, dibilang, pro, padahal, menurutku, itu, tanggung, jawab, kita, sebagai, orang, tua, kasih, yang, terbaik, buat, anak, jawab, gitu, aja, biar, beres, karena, udah, beda, prinsip, soalnya","update, vaksin, wa, story, kalo, vaksin, ku, bolehin, main, sentuh, anakku, kaget, ih, temenku, vaksin, anaknya, vaksin, dibilang, pro, menurutku, tanggung, orang, tua, kasih, terbaik, anak, gitu, biar, beres, beda, prinsip","update, vaksin, wa, story, kalo, vaksin, ku, bolehin, main, ntuh, anak, kaget, ih, temen, vaksin, anak, vaksin, bilang, pro, turut, tanggung, orang, tua, kasih, baik, anak, gitu, biar, beres, beda, prinsip",update vaksin wa story kalo vaksin ku bolehin main ntuh anak kaget ih temen vaksin anak vaksin bilang pro turut tanggung orang tua kasih baik anak gitu biar beres beda prinsip,,
,12,"Buibuuu anakku kan hariini suntik dpt
Aku sebagai newmom agak syok sama hargnya 🥹🤍 kalo selanjutnya kita lanjut kepuskesmas apa boleh ga yaa? Huhu",threads,"buibuuu, anakku, kan, hariini, suntik, dpt, aku, sebagai, newmom, agak, syok, sama, hargnya, kalo, selanjutnya, kita, lanjut, kepuskesmas, apa, boleh, ga, yaa, huhu","buibuuu, anakku, hariini, suntik, dpt, newmom, syok, hargnya, kalo, kepuskesmas, huhu","buibuuu, anak, hariin, suntik, dpt, newmom, syok, harg, kalo, puskesmas, huhu",buibuuu anak hariin suntik dpt newmom syok harg kalo puskesmas huhu,,
,13,"Imunisasi dasar merupakan salah satu upaya untuk membentuk kekebalan tubuh anak, sehingga mencegah penularaan penyakit berbahaya, wabah, serta membantu anak tidak mudah sakit.",threads,"imunisasi, dasar, merupakan, salah, satu, upaya, untuk, membentuk, kekebalan, tubuh, anak, sehingga, mencegah, penularaan, penyakit, berbahaya, wabah, serta, membantu, anak, tidak, mudah, sakit","imunisasi, dasar, salah, upaya, membentuk, kekebalan, tubuh, anak, mencegah, penularaan, penyakit, berbahaya, wabah, membantu, anak, mudah, sakit","imunisas, dasar, sa, upaya, bentuk, kebal, tubuh, anak, cegah, tulara, tyakit, bahaya, wabah, bantu, anak, mudah, sakit",imunisas dasar sa upaya bentuk kebal tubuh anak cegah tulara tyakit bahaya wabah bantu anak mudah sakit,,
,14,"Bunnnn. Anaknya yg belum imunisasi campak, TOLONG disegerakan imunisasinya ya bunnn. Kasus campak pada bayi, balita lg naik bgt awal tahun ini huhu.
Anakku pun kena, dan aku menyesal menyepelekan imunisasi campak ini, karna efeknya parah bgt untuk yg blm imunisasi😩😩
Jangan lupa bun yg anaknya belum imunisasi campak, disegerakannn",threads,"bunnnn, anaknya, yg, belum, imunisasi, campak, tolong, disegerakan, imunisasinya, ya, bunnn, kasus, campak, pada, bayi, balita, lg, naik, bgt, awal, tahun, ini, huhu, anakku, pun, kena, dan, aku, menyesal, menyepelekan, imunisasi, campak, ini, karna, efeknya, parah, bgt, untuk, yg, blm, imunisasi, jangan, lupa, bun, yg, anaknya, belum, imunisasi, campak, disegerakannn","bunnnn, anaknya, imunisasi, campak, tolong, disegerakan, imunisasinya, bunnn, campak, bayi, balita, lg, huhu, anakku, kena, menyesal, menyepelekan, imunisasi, campak, karna, efeknya, parah, blm, imunisasi, lupa, bun, anaknya, imunisasi, campak, disegerakannn","bunnnn, anak, imunisas, campak, tolong, segera, imunisas, bunnn, campak, bayi, balita, lg, huhu, anak, kena, tyesal, tyepele, imunisas, campak, karna, efek, parah, blm, imunisas, lupa, bun, anak, imunisas, campak, segerakannn",bunnnn anak imunisas campak tolong segera imunisas bunnn campak bayi balita lg huhu anak kena tyesal tyepele imunisas campak karna efek parah blm imunisas lupa bun anak imunisas campak segerakannn,,
,15,"Banyak moms & dads bingung: “Kenapa imunisasi di posyandu gratis, tapi di dokter anak bisa jutaan? Apa bedanya vaksinnya? Lebih bagus yang mana?”
Yuk kita bahas fakta berdasarkan info dari Kemenkes, IDAI, dan pengalaman orang tua. No judgement, pure edukasi! 👶💉",threads,"banyak, moms, dads, bingung, kenapa, imunisasi, di, posyandu, gratis, tapi, di, dokter, anak, bisa, jutaan, apa, bedanya, vaksinnya, lebih, bagus, yang, mana, yuk, kita, bahas, fakta, berdasarkan, info, dari, kemenkes, idai, dan, pengalaman, orang, tua, no, judgement, pure, edukasi","moms, dads, bingung, imunisasi, posyandu, gratis, dokter, anak, jutaan, bedanya, vaksinnya, bagus, yuk, bahas, fakta, berdasarkan, info, kemenkes, idai, pengalaman, orang, tua, no, judgement, pure, edukasi","moms, dads, bingung, imunisas, posyandu, gratis, dokter, anak, juta, beda, vaksin, bagus, yuk, bahas, fakta, dasar, info, menkes, idai, tgalam, orang, tua, no, judgement, pure, edukas",moms dads bingung imunisas posyandu gratis dokter anak juta beda vaksin bagus yuk bahas fakta dasar info menkes idai tgalam orang tua no judgement pure edukas,,
,16,"Jadi orangtua waras & pinter itu harus!
Anak punya hak untuk aman dari penyakit. Imunisasi itu hak anak, bukan cuma pilihan orang tua. Tapi masih ada yang skip dan ini bahaya 💔
Nih baca🫵🏻
Kalo sekitar anak lo pada imunisasi >> anak lo kayak punya ‘perisai tembok’ dari penyakit.
Kalo banyak yang ga imunisasi >> temboknya bocor, wabah gampang nyebar.
Ini disebut: Herd Immunity, gampangnya: kita lindungin satu sama lain
Jadi tolong sadar diri ya yg antivaks bisa jauh"" dari kita yg anaknya vaksin",threads,"jadi, orangtua, waras, pinter, itu, harus, anak, punya, hak, untuk, aman, dari, penyakit, imunisasi, itu, hak, anak, bukan, cuma, pilihan, orang, tua, tapi, masih, ada, yang, skip, dan, ini, bahaya, nih, baca, kalo, sekitar, anak, lo, pada, imunisasi, anak, lo, kayak, punya, perisai, tembok, dari, penyakit, kalo, banyak, yang, ga, imunisasi, temboknya, bocor, wabah, gampang, nyebar, ini, disebut, herd, immunity, gampangnya, kita, lindungin, satu, sama, lain, jadi, tolong, sadar, diri, ya, yg, antivaks, bisa, jauh, dari, kita, yg, anaknya, vaksin","orangtua, waras, pinter, anak, hak, aman, penyakit, imunisasi, hak, anak, pilihan, orang, tua, skip, bahaya, baca, kalo, anak, lo, imunisasi, anak, lo, kayak, perisai, tembok, penyakit, kalo, imunisasi, temboknya, bocor, wabah, gampang, nyebar, herd, immunity, gampangnya, lindungin, tolong, sadar, antivaks, anaknya, vaksin","orangtua, waras, pinter, anak, hak, aman, tyakit, imunisas, hak, anak, pilih, orang, tua, skip, bahaya, baca, kalo, anak, lo, imunisas, anak, lo, kayak, isa, tembok, tyakit, kalo, imunisas, tembok, bocor, wabah, gampang, nyebar, herd, immunity, gampang, lindungin, tolong, sadar, antivaks, anak, vaksin",orangtua waras pinter anak hak aman tyakit imunisas hak anak pilih orang tua skip bahaya baca kalo anak lo imunisas anak lo kayak isa tembok tyakit kalo imunisas tembok bocor wabah gampang nyebar herd immunity gampang lindungin tolong sadar antivaks anak vaksin,,
,17,"Anak-anak ibuku vaksinnya lengkap, padahal kakakku lahir tahun 80an.
Semua vaksin dikejar sampai ke kabupaten/kota tetangga. Cari program imunisasi pemerintah.
Sebuah privilege punya ibu berpendidikan itu bisa dirasakan di setiap jengkal kehidupan kami anak-anaknya. Warisannya bukan harta tapi pola didik dan pola asuh.  ",threads,"anak, anak, ibuku, vaksinnya, lengkap, padahal, kakakku, lahir, tahun, an, semua, vaksin, dikejar, sampai, ke, kabupaten, kota, tetangga, cari, program, imunisasi, pemerintah, sebuah, privilege, punya, ibu, berpendidikan, itu, bisa, dirasakan, di, setiap, jengkal, kehidupan, kami, anak, anaknya, warisannya, bukan, harta, tapi, pola, didik, dan, pola, asuh","anak, anak, ibuku, vaksinnya, lengkap, kakakku, lahir, an, vaksin, dikejar, kabupaten, kota, tetangga, cari, program, imunisasi, pemerintah, privilege, berpendidikan, dirasakan, jengkal, kehidupan, anak, anaknya, warisannya, harta, pola, didik, pola, asuh","anak, anak, ibu, vaksin, lengkap, kakak, lahir, an, vaksin, kejar, kabupaten, kota, tetangga, cari, program, imunisas, perin, privilege, pendidi, rasa, jengkal, hidup, anak, anak, waris, harta, pola, dik, pola, asuh",anak anak ibu vaksin lengkap kakak lahir an vaksin kejar kabupaten kota tetangga cari program imunisas perin privilege pendidi rasa jengkal hidup anak anak waris harta pola dik pola asuh,,
,18,"BAYI BAYI ITU PRODUK BIOLOGIS, BUKAN PRODUK PABRIK MAKA JANGAN SEMUA DIPERLUKAN SAMA HARUS VAKSIN. BISA CACAT & MATI BAGI SEBAGIAN LAIN",threads,"bayi, bayi, itu, produk, biologis, bukan, produk, pabrik, maka, jangan, semua, diperlukan, sama, harus, vaksin, bisa, cacat, mati, bagi, sebagian, lain","bayi, bayi, produk, biologis, produk, pabrik, vaksin, cacat, mati","bayi, bayi, produk, biologis, produk, pabrik, vaksin, cacat, mati",bayi bayi produk biologis produk pabrik vaksin cacat mati,,
,19,"halo ayah bunda
om dan tante
karena maraknya KLB (kejadian luar biasa) Campak sampai gejala berat, saya mau tanya donk pendapatnya tentang imunisasi/vaksin
no offense ya, silahkan kita berdiskusi ☺️
saya jadi moderatornya",threads,"halo, ayah, bunda, om, dan, tante, karena, maraknya, klb, kejadian, luar, biasa, campak, sampai, gejala, berat, saya, mau, tanya, donk, pendapatnya, tentang, imunisasi, vaksin, no, offense, ya, silahkan, kita, berdiskusi, saya, jadi, moderatornya","halo, ayah, bunda, om, tante, maraknya, klb, kejadian, campak, gejala, berat, donk, pendapatnya, imunisasi, vaksin, no, offense, silahkan, berdiskusi, moderatornya","halo, ayah, bunda, om, tante, marak, klb, jadi, campak, gejala, berat, donk, dapat, imunisas, vaksin, no, offense, silah, diskus, moderator",halo ayah bunda om tante marak klb jadi campak gejala berat donk dapat imunisas vaksin no offense silah diskus moderator,,
,20,"VAKSIN.. Selain vaksin varicella dan influenza, ada lagi gak mom vaksin yang penting tapi gak termasuk program 'gratis' pemerintah. Thanks for sharing.
Maaff aku tim pro vaksin ya moms, kalo ada yang anti vaksin, kita beda kapal yahhh🙏",threads,"vaksin, selain, vaksin, varicella, dan, influenza, ada, lagi, gak, mom, vaksin, yang, penting, tapi, gak, termasuk, program, gratis, pemerintah, thanks, for, sharing, maaff, aku, tim, pro, vaksin, ya, moms, kalo, ada, yang, anti, vaksin, kita, beda, kapal, yahhh","vaksin, vaksin, varicella, influenza, mom, vaksin, program, gratis, pemerintah, thanks, for, sharing, maaff, tim, pro, vaksin, moms, kalo, anti, vaksin, beda, kapal, yahhh","vaksin, vaksin, varicella, influenza, mom, vaksin, program, gratis, perin, thanks, for, sharing, maaff, tim, pro, vaksin, moms, kalo, anti, vaksin, beda, kapal, yahhh",vaksin vaksin varicella influenza mom vaksin program gratis perin thanks for sharing maaff tim pro vaksin moms kalo anti vaksin beda kapal yahhh,,
